['YDbDr', True, 2, 'ColorThreshold', 0.16796875, 0.25, 0.30859375, 0.5859375, 0.1640625, 0.90234375, 7, 12]
['YDbDr', False, 0, 'QuickShift', 0.703125, 0.31640625, 0.5390625, 0.234375, 0.6328125, 0.62109375, 0, 17]
['YIQ', True, 0, 'Watershed', 0.39453125, 0.68359375, 0.0078125, 0.23828125, 0.19140625, 0.109375, 9, 19]
['XYZ', True, 1, 'Felzenszwalb', 0.53125, 0.8515625, 0.17578125, 0.02734375, 0.83984375, 0.4765625, 0, 3]
['RGB', True, 1, 'Slic', 0.22265625, 0.87109375, 0.9921875, 0.83984375, 0.046875, 0.69921875, 8, 12]
['XYZ', True, 2, 'Morphological_Chan_Vese', 0.796875, 0.59375, 0.9609375, 0.90234375, 0.7265625, 0.82421875, 7, 14]
['XYZ', True, 0, 'SlicO', 0.19921875, 0.49609375, 0.953125, 0.14453125, 0.8828125, 0.04296875, 3, 2]
['RGB', True, 2, 'Morphological_Chan_Vese', 0.33984375, 0.34375, 0.453125, 0.55078125, 0.6640625, 0.08203125, 1, 8]
['XYZ', False, 0, 'Chan_Vese', 0.7578125, 0.11328125, 0.46484375, 0.16796875, 0.7578125, 0.87109375, 7, 1]
['RGB', False, 0, 'Slic', 0.56640625, 0.296875, 0.06640625, 0.296875, 0.890625, 0.6015625, 4, 10]
